_u1.fuid,_u1.fplatformname,_u1.dt,_u1.if_away,_u1.label_score_week,_u1.label_score_month,_u1.play_score_alteration,_u1.label_score,_u1.play_passion_7day,_u1.pay_passion_7day,_u1.play_passion_30day,_u1.pay_passion_30day,_u1.lifespan,_u1.signup_to_now_days,_u1.total_silver_coin,_u1.total_gold_bar,_u1.carrying_silver_coin,_u1.carrying_gold_bar,_u1.safebox_silver_coin,_u1.safebox_gold_bar,_u1.if_vip,_u1.play_duration_life,_u1.play_duration_30day,_u1.play_duration_7day,_u1.play_innings_life,_u1.play_innings_30day,_u1.play_innings_7day,_u1.win_innings_life,_u1.win_innings_7day,_u1.lose_innings_life,_u1.lose_innings_7day,_u1.win_rate_life,_u1.win_rate_7day,_u1.pay_count_life,_u1.pay_count_30day,_u1.pay_count_7day,_u1.pay_sum_life,_u1.pay_sum_30day,_u1.pay_sum_7day,_u1.login_count_life,_u1.login_count_7day,_u1.bankrupt_count_life,_u1.bankrupt_count_7day,_u1.relieve_count_life,_u1.relieve_silver_coins_life,_u1.match_innings_life,_u1.match_duration_life,_u1.match_win_rate_life,_u1.recent_login_series_days,_u1.latest_play_coins,_u1.last_active_to_now_days,_u1.last_pay_to_now_days
21049854,辽宁,2018-07-02,0,8,8,-0.208333333333,8,29,0,24,0,21,22,18382,0,6000,0,12382,0,0,49693,43628,12831,501,443,135,186,45,234,65,0.3713,0.4091,0,0,0,0.00,0.00,0.00,61,15,22,5,19,152000,0,0,1.0000,0,-1000,1,0
21049871,云南,2018-07-02,1,9,7,-0.142857142857,7,8,5,7,14,19,22,0,0,0,0,0,0,0,2994,2965,153,102,101,8,44,3,51,4,0.4314,0.4286,6,6,1,3.00,3.00,0.50,8,2,14,3,7,56000,0,0,1.0000,0,-10640,3,3
21050005,云南,2018-07-02,0,8,5,0.0588235294118,5,32,0,34,20,22,22,0,1,0,1,0,0,0,32318,29823,8251,922,883,205,431,93,437,104,0.4675,0.4721,10,10,0,5.00,5.00,0.00,46,7,59,8,44,352000,205,16648,0.4780,1,-21692,0,16
21050219,山东,2018-07-02,1,8,8,-0.171428571429,8,41,0,35,0,18,22,9720,0,9720,0,0,0,0,102072,93542,27893,837,773,240,207,45,340,61,0.2473,0.4245,0,0,0,0.00,0.00,0.00,61,7,0,0,0,0,0,0,1.0000,0,-3,3,0
21050245,四川,2018-07-02,1,9,8,0.885714285714,8,4,0,35,3,18,22,1224,0,1224,0,0,0,0,67034,67034,776,961,961,10,519,1,363,8,0.5401,0.1111,1,1,0,0.50,0.50,0.00,87,2,32,2,20,160000,0,0,1.0000,0,-2100,4,21
21050484,山东,2018-07-02,1,9,5,0.80487804878,5,8,0,41,20,19,22,89591,0,12200,0,77391,0,0,96351,94036,2652,656,640,18,201,7,269,7,0.3064,0.5000,2,2,0,12.00,12.00,0.00,84,6,16,0,13,104000,79,13133,0.3671,0,0,3,14
21050624,四川,2018-07-02,0,8,8,-0.0188679245283,8,54,0,53,0,21,22,17866,0,1588,0,16278,0,0,116207,111120,23422,822,786,160,437,83,333,65,0.5316,0.5608,0,0,0,0.00,0.00,0.00,75,16,76,0,25,200000,0,0,1.0000,0,-5520,1,0
21050690,云南,2018-07-02,1,9,8,0.619047619048,8,8,0,21,0,19,22,832,0,832,0,0,0,0,19012,19012,273,440,440,12,218,3,203,7,0.4955,0.3000,0,0,0,0.00,0.00,0.00,50,2,25,4,20,160000,59,4910,0.5085,0,-6000,3,0
21050841,云南,2018-07-02,1,9,5,0.25,5,9,9,12,14,22,22,1,0,1,0,0,0,0,10684,10684,937,131,131,10,52,2,79,8,0.3969,0.2000,3,3,1,6.00,6.00,2.00,12,2,15,3,9,72000,0,0,1.0000,1,-9030,0,3
21051007,四川,2018-07-02,0,6,8,-0.954545454545,8,86,0,44,0,22,22,2080,6,2080,6,0,0,0,83833,79337,39256,670,631,327,309,152,342,166,0.4612,0.4780,0,0,0,0.00,0.00,0.00,60,27,89,39,34,272000,296,32358,0.4932,13,-120,0,0
21051288,山东,2018-07-02,0,8,8,-0.923076923077,8,25,0,13,0,22,22,4293,10,4293,10,0,0,0,12530,11720,4708,47,45,24,16,8,24,13,0.3404,0.3810,0,0,0,0.00,0.00,0.00,19,8,3,0,3,24000,13,1033,0.3077,1,-6040,0,0
21051318,云南,2018-07-02,1,9,8,0.25,8,9,0,12,0,19,22,5390,0,5390,0,0,0,0,8049,8049,732,95,95,7,13,0,55,6,0.1368,0.0000,0,0,0,0.00,0.00,0.00,33,3,14,0,13,104000,3,337,0.0000,0,-1200,3,0
