fbpid,fuid,latest_login_time,lifespan,pay_sum,coin_sum,get_pay,get_win,get_sys,get_duihuan,senior,profession,personal,middle,low
384C601DAA0369E7BB9AECC1D53D3437,1002692432,2018-03-02,2,0.00,4000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
384C601DAA0369E7BB9AECC1D53D3437,1002786828,2018-08-25,156,0.00,329841,0.0000,28.4109,71.5891,0.0000,0.0000,0.0000,0.0000,0.3800,99.6200
384C601DAA0369E7BB9AECC1D53D3437,1002879033,2018-08-20,130,0.00,429884,0.0000,51.4190,48.5810,0.0000,0.0000,0.0000,0.0000,3.1500,96.8500
384C601DAA0369E7BB9AECC1D53D3437,1002929657,2018-05-27,25,0.00,31796,0.0000,29.2364,70.7636,0.0000,0.0000,0.0000,99.3300,0.0000,0.6700
384C601DAA0369E7BB9AECC1D53D3437,1002976544,2018-06-23,26,0.00,121500,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002305847,2018-08-26,303,0.00,3378142,0.0000,7.6875,92.1390,0.0000,0.2000,0.0000,0.0000,4.0700,95.7300
BD5FDCFA71A9CD5313766DAE14B56F9F,1002351164,2018-08-16,280,0.00,742231,0.0000,13.9121,86.0879,0.0000,0.0000,0.0000,0.0000,11.5900,88.4100
BD5FDCFA71A9CD5313766DAE14B56F9F,1002453399,2018-04-02,107,0.00,319229,0.0000,30.9427,69.0573,0.0000,2.9900,0.0000,0.0000,7.8800,89.1300
BD5FDCFA71A9CD5313766DAE14B56F9F,1002581538,2018-03-25,61,0.00,30500,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002620441,2018-03-18,39,0.00,243391,0.0000,28.5418,71.4582,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002626840,2018-03-05,23,0.00,192000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,10.1200,89.8800
