user_style_daily_sirendoudizhu.fbpid,user_style_daily_sirendoudizhu.fuid,user_style_daily_sirendoudizhu.sys_sum,user_style_daily_sirendoudizhu.sys_percent,user_style_daily_sirendoudizhu.win_sum,user_style_daily_sirendoudizhu.win_percent,user_style_daily_sirendoudizhu.pay_sum,user_style_daily_sirendoudizhu.pay_percent,user_style_daily_sirendoudizhu.change_sum,user_style_daily_sirendoudizhu.change_percent,user_style_daily_sirendoudizhu.coin_total,user_style_daily_sirendoudizhu.primary_total_time,user_style_daily_sirendoudizhu.primary_total_count,user_style_daily_sirendoudizhu.primary_percent,user_style_daily_sirendoudizhu.practice_total_time,user_style_daily_sirendoudizhu.practice_total_count,user_style_daily_sirendoudizhu.practice_percent,user_style_daily_sirendoudizhu.native_total_time,user_style_daily_sirendoudizhu.native_total_count,user_style_daily_sirendoudizhu.native_percent,user_style_daily_sirendoudizhu.middle_total_time,user_style_daily_sirendoudizhu.middle_total_count,user_style_daily_sirendoudizhu.middle_percent,user_style_daily_sirendoudizhu.high_total_time,user_style_daily_sirendoudizhu.high_total_count,user_style_daily_sirendoudizhu.high_percent,user_style_daily_sirendoudizhu.master_total_time,user_style_daily_sirendoudizhu.master_total_count,user_style_daily_sirendoudizhu.master_percent,user_style_daily_sirendoudizhu.dt
53A1CFE86FB5700D88BF92D5087FFD2B,4274400,58306,51.3596,55219,48.6404,0,0,0,0.0,113525,0,0,0.0,279,1,28.3825,704,5,71.6175,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
9268258C6A6D664E21E1D05D5634EBBA,8729156,10493,76.9507,3143,23.0493,0,0,0,0.0,13636,0,0,0.0,416,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,8246582,5995,53.8151,5145,46.1849,0,0,0,0.0,11140,0,0,0.0,957,7,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4296854,1716,87.7301,240,12.2699,0,0,0,0.0,1956,0,0,0.0,0,0,0.0,186,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
34E4147F6F2E379D9F1B3E9043A341F4,3707064,42244,48.4555,44937,51.5445,0,0,0,0.0,87181,0,0,0.0,0,0,0.0,899,7,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
9268258C6A6D664E21E1D05D5634EBBA,11769109,42614,57.069,32057,42.931,0,0,0,0.0,74671,0,0,0.0,1783,11,91.671,162,1,8.329,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11661534,121291,51.5551,113974,48.4449,0,0,0,0.0,235265,735,4,32.1804,626,5,27.4081,923,6,40.4116,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,10372908,25701,58.7398,18053,41.2602,0,0,0,0.0,43754,0,0,0.0,1037,9,67.3814,502,3,32.6186,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11384606,27381,48.7371,28800,51.2629,0,0,0,0.0,56181,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,220,1,100.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,10744593,14665,87.6569,2065,12.3431,0,0,0,0.0,16730,0,0,0.0,164,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
