fbpid,fuid,lifespan,pay_sum,latest_login_time,null,付费,赢牌获得,系统产出,兑换,null,高级场,职业场,私人场,中级场,新手场
384C601DAA0369E7BB9AECC1D53D3437,1002363312,287,0.00,2018-08-26,0.0000,0.0000,60.6114,39.2742,0.0000,0.0000,0.3200,0.0000,0.0000,18.6100,81.0700
384C601DAA0369E7BB9AECC1D53D3437,1002871779,137,0.00,2018-08-26,0.0000,0.0000,65.8813,34.1187,0.0000,0.0000,1.4400,0.0000,0.0000,1.8400,96.7200
384C601DAA0369E7BB9AECC1D53D3437,1002893485,131,0.00,2018-08-26,0.0000,0.0000,37.7242,61.7063,0.0000,0.0000,0.0000,0.0000,0.0000,6.6800,93.3200
384C601DAA0369E7BB9AECC1D53D3437,1003006762,1,0.00,2018-06-18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002244620,189,0.00,2018-04-25,0.0000,0.0000,6.9092,93.0908,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002251863,276,0.00,2018-07-22,0.0000,0.0000,38.4915,61.3015,0.0000,0.0000,0.5900,0.0000,0.0000,18.9600,80.4600
BD5FDCFA71A9CD5313766DAE14B56F9F,1002283910,308,0.00,2018-08-26,0.0000,0.0000,51.6010,48.3990,0.0000,0.0000,0.5900,0.1400,0.0000,20.0100,79.2600
BD5FDCFA71A9CD5313766DAE14B56F9F,1002358603,247,0.00,2018-07-15,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002525694,232,0.00,2018-08-26,0.0000,0.0000,59.9791,40.0209,0.0000,0.0000,3.0100,0.0000,0.0000,10.1500,86.8400
BD5FDCFA71A9CD5313766DAE14B56F9F,1002697416,101,0.00,2018-06-09,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002745922,70,0.00,2018-05-18,0.0000,0.0000,32.9726,67.0274,0.0000,0.0000,0.0000,0.0000,0.0000,1.6200,98.3800
BD5FDCFA71A9CD5313766DAE14B56F9F,1002965912,10,0.00,2018-06-01,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002982586,1,0.00,2018-06-02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1003024322,14,0.00,2018-07-13,0.0000,0.0000,36.3057,63.6943,0.0000,0.0000,0.0000,0.0000,22.9400,0.0000,77.0600
384C601DAA0369E7BB9AECC1D53D3437,1002576336,98,0.00,2018-04-29,0.0000,0.0000,8.0603,91.9397,0.0000,0.0000,0.0000,0.0000,0.0000,2.2800,97.7200
384C601DAA0369E7BB9AECC1D53D3437,1002638019,189,0.00,2018-08-23,0.0000,0.0000,47.7698,52.2302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002912434,79,0.00,2018-07-12,0.0000,0.0000,24.0705,75.9295,0.0000,0.0000,0.0000,0.0000,7.8700,0.0000,92.1300
384C601DAA0369E7BB9AECC1D53D3437,1002946793,1,0.00,2018-05-13,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
384C601DAA0369E7BB9AECC1D53D3437,1002972509,92,0.00,2018-08-26,0.0000,0.0000,63.4306,17.3098,0.0000,0.0000,3.5700,0.0000,0.0000,20.5900,75.8300
BD5FDCFA71A9CD5313766DAE14B56F9F,1002247367,312,0.00,2018-08-26,0.0000,0.0000,58.2987,40.1551,0.0000,0.0000,0.6200,0.0600,0.0000,9.4300,89.8900
BD5FDCFA71A9CD5313766DAE14B56F9F,1002265322,142,0.00,2018-03-11,0.0000,0.0000,49.8478,50.1522,0.0000,0.0000,5.9500,4.6500,0.0000,17.7300,71.6700
BD5FDCFA71A9CD5313766DAE14B56F9F,1002632569,65,0.00,2018-04-18,0.0000,0.0000,38.2790,61.7210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002690573,49,0.00,2018-04-18,0.0000,0.0000,61.8793,38.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.2700,99.7300
BD5FDCFA71A9CD5313766DAE14B56F9F,1002768027,93,0.00,2018-06-17,0.0000,0.0000,27.2580,72.7420,0.0000,0.0000,0.0000,0.0000,20.6900,1.9100,77.4100
BD5FDCFA71A9CD5313766DAE14B56F9F,1002814616,144,0.00,2018-08-22,0.0000,0.0000,3.2294,96.7706,0.0000,0.0000,0.0000,0.0000,0.0000,0.5500,99.4500
BD5FDCFA71A9CD5313766DAE14B56F9F,1002965996,35,0.00,2018-06-26,0.0000,0.0000,2.9557,97.0443,0.0000,0.0000,10.9000,0.0000,0.0000,18.8100,70.3000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002991309,81,0.00,2018-08-26,0.0000,0.0000,39.0693,60.9307,0.0000,0.0000,0.0000,0.0000,0.0000,0.9800,99.0200
BD5FDCFA71A9CD5313766DAE14B56F9F,1003002183,74,0.00,2018-08-26,0.0000,0.0000,25.4389,74.5611,0.0000,0.0000,2.4100,0.0000,0.0000,32.1900,65.4100
BD5FDCFA71A9CD5313766DAE14B56F9F,1003081577,25,412.87,2018-08-26,0.0000,67.7010,31.2415,1.0576,0.0000,0.0000,12.6100,0.0000,71.0900,12.1800,4.1200
BD5FDCFA71A9CD5313766DAE14B56F9F,1003089503,17,0.00,2018-08-22,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0800,91.9200
384C601DAA0369E7BB9AECC1D53D3437,1002228016,306,0.00,2018-08-14,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,17.6000,0.0000,0.0000,5.4700,76.9300
384C601DAA0369E7BB9AECC1D53D3437,1002756819,167,0.00,2018-08-26,0.0000,0.0000,28.5934,71.4066,0.0000,0.0000,0.0000,0.0000,0.0900,1.0400,98.8700
384C601DAA0369E7BB9AECC1D53D3437,1002856614,122,0.00,2018-08-08,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
384C601DAA0369E7BB9AECC1D53D3437,1002981575,1,0.00,2018-06-01,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
384C601DAA0369E7BB9AECC1D53D3437,1003008413,1,0.00,2018-06-19,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002579236,216,0.00,2018-08-26,0.0000,0.0000,47.4049,27.0078,0.0000,0.0000,5.5200,0.0000,9.3700,46.6700,38.4400
BD5FDCFA71A9CD5313766DAE14B56F9F,1002745455,148,0.00,2018-08-04,0.0000,0.0000,59.4709,39.0035,1.5256,0.0000,6.9300,0.0000,0.0000,29.5400,63.5300
